Value,REG_CODE_7,REG_NAME_7,MVG_NAME,MVS_NAME,count,pct,count.Extant,pct.Extant,EFG_DK,EFG_IBRA_MVS,EFG_IBRA_MVG,EGF_CM,EFG_combined
75,AVW,Avon Wheatbelt,"Chenopod Shrublands, Samphire Shrublands and Forblands",Saltbush and bluebush shrublands,5280,0.0007,11136,0.0014,"T5.1, 0.2; F2.6, 0.8","T5.1, 0.2; F2.6, 0.8","TF1.5, 0.5; F2.7, 0.4; T5.1, 0.1",,"T5.1, 0.2; F2.6, 0.8"
76,AVW,Avon Wheatbelt,Other Shrublands,Other shrublands,1094099,0.1424,95715,0.0125,"T3.2, 0.7; T5.6, 0.3","T3.2, 0.7; T5.6, 0.3","T3.2, 0.7; T5.6, 0.3",,"T3.2, 0.7; T5.6, 0.3"
77,AVW,Avon Wheatbelt,"Chenopod Shrublands, Samphire Shrublands and Forblands","Mixed chenopod, samphire +/- forbs",190451,0.0248,83266,0.0108,"TF1.5, 0.5; F2.7, 0.4; T5.1, 0.1","TF1.5, 0.5; F2.7, 0.4; T5.1, 0.1","TF1.5, 0.5; F2.7, 0.4; T5.1, 0.1",,"TF1.5, 0.5; F2.7, 0.4; T5.1, 0.1"
78,AVW,Avon Wheatbelt,"Naturally bare - sand, rock, claypan, mudflat","Naturally bare, sand, rock, claypan, mudflat",41896,0.0055,29164,0.0038,T3.2,T3.2,T3.2,,T3.2
79,AVW,Avon Wheatbelt,"Inland aquatic - freshwater, salt lakes, lagoons",Salt lakes and lagoons,167445,0.0218,14976,0.0019,F2.7,F2.7,F2.7,,F2.7
80,AVW,Avon Wheatbelt,"Inland aquatic - freshwater, salt lakes, lagoons","Freshwater, dams, lakes, lagoons or aquatic plants",27,0,5,0,F2.3,F2.3,F2.7,,F2.3
81,AVW,Avon Wheatbelt,Eucalypt Open Woodlands,Eucalyptus open woodlands with shrubby understorey,97912,0.0127,43053,0.0056,T2.6,T2.6,"T5.6, 0.4; T2.6, 0.6",,T2.6
82,AVW,Avon Wheatbelt,Other Shrublands,Melaleuca shrublands and open shrublands,117190,0.0153,19181,0.0025,"T4.4, 0.1; TF1.2, 0.4; TF1.4, 0.5","T4.4, 0.1; TF1.2, 0.4; TF1.4, 0.5","T3.2, 0.7; T5.6, 0.3",,"T4.4, 0.1; TF1.2, 0.4; TF1.4, 0.5"
83,AVW,Avon Wheatbelt,Other Forests and Woodlands,Banksia woodlands,50061,0.0065,5385,0.0007,"T2.6, 0.2; T3.2, 0.8","T2.6, 0.2; T3.2, 0.8","T2.6, 0.2; T3.2, 0.8",,"T2.6, 0.2; T3.2, 0.8"
84,AVW,Avon Wheatbelt,Eucalypt Tall Open Forests,Eucalyptus tall open forest with a fine-leaved shrubby understorey,21,0,,,,,,,
85,AVW,Avon Wheatbelt,Mallee Woodlands and Shrublands,Mallee with an open shrubby understorey,266501,0.0347,8728,0.0011,"T4.4, 0.2; T5.6, 0.8","T4.4, 0.2; T5.6, 0.8","T4.4, 0.2; T5.6, 0.8",,"T4.4, 0.2; T5.6, 0.8"
86,AVW,Avon Wheatbelt,Eucalypt Open Woodlands,Eucalyptus (+/- low) open woodlands with a chenopod or samphire understorey,99232,0.0129,19424,0.0025,"T5.6, 0.4; T2.6, 0.6","T5.6, 0.4; T2.6, 0.6","T5.6, 0.4; T2.6, 0.6",,"T5.6, 0.4; T2.6, 0.6"
87,AVW,Avon Wheatbelt,Eucalypt Woodlands,Eucalyptus woodlands with a chenopod or samphire understorey,380005,0.0495,1582,0.0002,TF1.5,TF1.5,T4.4,,TF1.5
88,AVW,Avon Wheatbelt,Mallee Open Woodlands and Sparse Mallee Shrublands,Open mallee woodlands and sparse mallee shrublands with an open shrubby understorey,15312,0.002,39,0,T5.6,T5.6,T5.6,,T5.6
89,AVW,Avon Wheatbelt,Mallee Open Woodlands and Sparse Mallee Shrublands,Open mallee woodlands and sparse mallee shrublands with a dense shrubby understorey,5057,0.0007,,,,,T5.6,,T5.6
90,AVW,Avon Wheatbelt,Other Open Woodlands,Casuarina and Allocasuarina open woodlands with a shrubby understorey,13731,0.0018,,,,,,,
91,BBN,Brigalow Belt North,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,4132,0.0005,1277,0.0002,T1.1,T1.1,T1.2,,T1.1
92,BBN,Brigalow Belt North,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,309153,0.0402,34432,0.0045,"T1.2, 0.21; T4.2, 0.7; T2.6, 0.2","T1.2, 0.21; T4.2, 0.7; T2.6, 0.2","T1.2, 0.21; T4.2, 0.7; T2.6, 0.2",,"T1.2, 0.21; T4.2, 0.7; T2.6, 0.2"
93,BBN,Brigalow Belt North,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,227727,0.0296,43723,0.0057,T4.2,T4.2,"T1.2, 0.21; T4.2, 0.7; T2.6, 0.2",,T4.2
94,BBN,Brigalow Belt North,Rainforests and Vine Thickets,Warm temperate rainforest,1852,0.0002,1696,0.0002,"T1.1, 0.49; T1.3, 0.51","T1.1, 0.49; T1.3, 0.51",T1.2,,"T1.1, 0.49; T1.3, 0.51"
95,BBN,Brigalow Belt North,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,1398804,0.1821,1179383,0.1534,T4.2,T4.2,T4.2,,T4.2
96,BBN,Brigalow Belt North,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,4674295,0.6084,3202690,0.4167,T4.2,T4.2,T4.2,,T4.2
97,BBN,Brigalow Belt North,Callitris Forests and Woodlands,Callitris forests and woodlands,1058,0.0001,736,0.0001,,,,,
98,BBN,Brigalow Belt North,Acacia Forests and Woodlands,Brigalow (Acacia harpophylla) forests and woodlands,2741965,0.3569,197334,0.0257,"T1.2, 0.6; T4.3, 0.4","T1.2, 0.6; T4.3, 0.4","T1.2, 0.6; T4.3, 0.4",,"T1.2, 0.6; T4.3, 0.4"
99,BBN,Brigalow Belt North,Acacia Forests and Woodlands,Other Acacia forests and woodlands,1028472,0.1339,446519,0.0581,T5.6,T5.6,"T1.2, 0.6; T4.3, 0.4",,T5.6
100,BBN,Brigalow Belt North,Melaleuca Forests and Woodlands,Melaleuca open forests and woodlands,165370,0.0215,151644,0.0197,"TF1.2, 0.6; T4.2, 0.4","TF1.2, 0.6; T4.2, 0.4","TF1.2, 0.6; T4.2, 0.4",,"TF1.2, 0.6; T4.2, 0.4"
101,BBN,Brigalow Belt North,Other Forests and Woodlands,Other forests and woodlands,903,0.0001,1278,0.0002,"T2.6, 0.6; T3.1, 0.4","T2.6, 0.6; T3.1, 0.4","T2.6, 0.6; T3.1, 0.4",,"T2.6, 0.6; T3.1, 0.4"
102,BBN,Brigalow Belt North,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,133061,0.0173,75721,0.0099,"T4.2, 0.51, T4.3, 0.49","T4.2, 0.51, T4.3, 0.49",T4.2,,"T4.2, 0.51, T4.3, 0.49"
103,BBN,Brigalow Belt North,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,502797,0.0654,340404,0.0443,T4.2,T4.2,T4.2,,T4.2
104,BBN,Brigalow Belt North,Acacia Open Woodlands,Acacia (+/- low) open woodlands and shrublands +/- tussock grass,14726,0.0019,204,0,T1.2,T1.2,T1.2,,T1.2
105,BBN,Brigalow Belt North,Casuarina Forests and Woodlands,Casuarina and Allocasuarina forests and woodlands,10259,0.0013,30181,0.0039,"T4.2, 0.9; TF1.2, 0.09; MT2.1, 0.01","T4.2, 0.9; TF1.2, 0.09; MT2.1, 0.01","T4.2, 0.9; TF1.2, 0.09; MT2.1, 0.01",,"T4.2, 0.9; TF1.2, 0.09; MT2.1, 0.01"
106,BBN,Brigalow Belt North,Low Closed Forests and Tall Closed Shrublands,"Low closed forest or tall closed shrublands (including Acacia, Melaleuca and Banksia)",56,0,2590,0.0003,"T3.2, 0.6; MT2.1, 0.4","T3.2, 0.6; MT2.1, 0.4","T3.2, 0.6; MT2.1, 0.4",,"T3.2, 0.6; MT2.1, 0.4"
107,BBN,Brigalow Belt North,Heathlands,Heathlands,7778,0.001,2164,0.0003,"T3.2, 0.6; TF1.6, 0.4","T3.2, 0.6; TF1.6, 0.4","T3.2, 0.6; TF1.6, 0.4",,"T3.2, 0.6; TF1.6, 0.4"
108,BBN,Brigalow Belt North,"Chenopod Shrublands, Samphire Shrublands and Forblands",Saltbush and bluebush shrublands,10706,0.0014,,,,,MFT1.3,,MFT1.3
109,BBN,Brigalow Belt North,Acacia Shrublands,Other shrublands,59,0,,,,T3.2,T1.2,,T3.2
110,BBN,Brigalow Belt North,Other Shrublands,Other shrublands,1357,0.0002,3286,0.0004,T3.2,T3.2,T4.2,,T3.2
111,BBN,Brigalow Belt North,Hummock Grasslands,Hummock grasslands,4,0,197,0,T5.3,T5.3,T5.3,,T5.3
112,BBN,Brigalow Belt North,Tussock Grasslands,Mitchell grass (Astrebla) tussock grasslands,150,0,6140,0.0008,"T4.5, 0.9; T5.1, 0.1","T4.5, 0.9; T5.1, 0.1","T4.5, 0.9; T4.2, 0.1",,"T4.5, 0.9; T5.1, 0.1"
113,BBN,Brigalow Belt North,Tussock Grasslands,Blue grass (Dicanthium) and tall bunch grass (Vitiveria syn: Chrysopogon) tussock grasslands,781727,0.1018,250293,0.0326,"T4.5, 0.9; T4.2, 0.1","T4.5, 0.9; T4.2, 0.1","T4.5, 0.9; T4.2, 0.1",,"T4.5, 0.9; T4.2, 0.1"
114,BBN,Brigalow Belt North,Tussock Grasslands,Other tussock grasslands,48628,0.0063,47993,0.0062,"T4.2, 0.51; T4.5, 0.49","T4.2, 0.51; T4.5, 0.49","T4.5, 0.9; T4.2, 0.1",,"T4.2, 0.51; T4.5, 0.49"
115,BBN,Brigalow Belt North,"Other Grasslands, Herblands, Sedgelands and Rushlands","Wet tussock grassland with herbs, sedges or rushes, herblands or ferns",285,0,10,0,"TF1.5, 0.49; F2.5, 0.51","TF1.5, 0.49; F2.5, 0.51",MFT1.3,,"TF1.5, 0.49; F2.5, 0.51"
116,BBN,Brigalow Belt North,"Chenopod Shrublands, Samphire Shrublands and Forblands","Mixed chenopod, samphire +/- forbs",33919,0.0044,23914,0.0031,MFT1.3,MFT1.3,MFT1.3,,MFT1.3
117,BBN,Brigalow Belt North,Mangroves,Mangroves,87783,0.0114,86254,0.0112,MFT1.2,MFT1.2,MFT1.2,,MFT1.2
118,BBN,Brigalow Belt North,"Other Grasslands, Herblands, Sedgelands and Rushlands",Saline or brackish sedgelands or grasslands,41607,0.0054,18589,0.0024,MFT1.3,MFT1.3,MFT1.3,,MFT1.3
119,BBN,Brigalow Belt North,"Naturally bare - sand, rock, claypan, mudflat","Naturally bare, sand, rock, claypan, mudflat",94137,0.0123,79990,0.0104,MT1.2,MT1.2,MT1.2,,MT1.2
120,BBN,Brigalow Belt North,"Other Grasslands, Herblands, Sedgelands and Rushlands","Freshwater, dams, lakes, lagoons or aquatic plants",4336,0.0006,,,,"F1.3, 0.15; F3.1, 0.7; TF1.4, 0.15",MFT1.3,,"F1.3, 0.15; F3.1, 0.7; TF1.4, 0.15"
121,BBN,Brigalow Belt North,"Inland aquatic - freshwater, salt lakes, lagoons","Freshwater, dams, lakes, lagoons or aquatic plants",6344,0.0008,39411,0.0051,"F1.3, 0.15; F3.1, 0.7; TF1.4, 0.15","F1.3, 0.15; F3.1, 0.7; TF1.4, 0.15","F1.3, 0.15; F3.1, 0.7; TF1.4, 0.15",,"F1.3, 0.15; F3.1, 0.7; TF1.4, 0.15"
122,BBN,Brigalow Belt North,Sea and estuaries,"Sea, estuaries (includes seagrass)",5066,0.0007,20602,0.0027,"FM1.2, 0.6; FM1.3, 0.1; M1.1, 0.3","FM1.2, 0.6; FM1.3, 0.1; M1.1, 0.3","FM1.2, 0.6; FM1.3, 0.1; M1.1, 0.3",,"FM1.2, 0.6; FM1.3, 0.1; M1.1, 0.3"
123,BBN,Brigalow Belt North,Eucalypt Open Woodlands,Eucalyptus open woodlands with shrubby understorey,392,0.0001,37256,0.0048,T4.2,T4.2,T4.2,,T4.2
124,BBN,Brigalow Belt North,Eucalypt Open Woodlands,Eucalyptus open woodlands with a grassy understorey,1066910,0.1389,,,,,T4.2,,T4.2
125,BBN,Brigalow Belt North,Other Shrublands,Melaleuca shrublands and open shrublands,13864,0.0018,19912,0.0026,T4.2,T4.2,T4.2,,T4.2
126,BBN,Brigalow Belt North,Eucalypt Open Woodlands,Eucalyptus low open woodlands with a shrubby understorey,366,0,,,,,T4.2,,T4.2
127,BBN,Brigalow Belt North,Eucalypt Woodlands,"Eucalyptus woodlands with ferns, herbs, sedges, rushes or wet tussock grassland",672,0.0001,176149,0.0229,TF1.2,TF1.2,T4.2,,TF1.2
128,BBN,Brigalow Belt North,Eucalypt Tall Open Forests,"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses",816,0.0001,,,,T2.5,T2.5,,T2.5
129,BBN,Brigalow Belt North,Rainforests and Vine Thickets,Dry rainforest or vine thickets,172818,0.0225,69762,0.0091,T1.2,T1.2,T1.2,,T1.2
130,BBN,Brigalow Belt North,"Other Grasslands, Herblands, Sedgelands and Rushlands","Sedgelands, rushes or reeds",20107,0.0026,13586,0.0018,TF1.3,TF1.3,MFT1.3,,TF1.3
131,BBN,Brigalow Belt North,"Other Grasslands, Herblands, Sedgelands and Rushlands",Other grasslands,1615,0.0002,2,0,MT2.1,MT2.1,MFT1.3,,MT2.1
132,BBN,Brigalow Belt North,Other Open Woodlands,Casuarina and Allocasuarina open woodlands with a tussock grass understorey,25059,0.0033,,,,,,,
133,BBN,Brigalow Belt North,Other Open Woodlands,Melaleuca open woodlands,14502,0.0019,,,,,,,
134,BBN,Brigalow Belt North,Other Open Woodlands,Other open woodlands,2751,0.0004,,,,,,,
135,BBN,Brigalow Belt North,Mallee Open Woodlands and Sparse Mallee Shrublands,Unknown/no data,46,0,,,,,,,
